date,open,high,low,close,volume
4/28/2011,271.7983,272.3984,269.7878,271.7528,2033590
4/29/2011,272.7782,274.8493,272.0256,274.8493,3522997
5/2/2011,275.6576,275.6727,271.3234,272.0508,2132554
5/3/2011,271.3285,273.7936,267.5399,269.6918,2077201
5/4/2011,270.3384,272.2731,269.2523,270.6516,2115923
5/5/2011,269.6767,272.4859,268.4845,269.8838,1992415
5/6/2011,271.8437,273.5158,270.3434,270.4041,2055942
5/9/2011,270.2525,272.0155,268.2825,271.6063,1947002
5/10/2011,272.7782,275.016,271.5356,274.1219,2041465
5/11/2011,272.849,274.57,269.5908,270.4798,2334756
5/12/2011,270.3738,271.2325,268.1865,270.2778,1447911
5/13/2011,270.0555,270.7173,267.2469,267.4995,2107917
5/16/2011,265.8628,266.3478,260.8568,261.8772,2956663
5/17/2011,260.3668,268.3431,260.1648,267.9592,3302462
5/18/2011,267.4944,267.8935,265.5547,267.6308,1953145
5/19/2011,269.1058,271.0304,267.5854,268.3582,2466768
5/20/2011,268.6361,268.732,264.2565,264.7111,2316804
5/23/2011,260.9579,262.6753,259.3414,261.8621,2252438
5/24/2011,262.8623,264.6767,261.7408,261.7964,1887551
5/25/2011,261.3266,264.0746,261.2862,262.5087,1300269
5/26/2011,261.5135,263.7463,260.1496,261.7307,2117625
5/27/2011,261.9075,263.5796,260.8063,263.13,1745603
5/31/2011,265.2011,267.2469,264.4434,267.2318,2685830
6/1/2011,266.7367,269.3432,265.3577,265.5042,2947964
6/2/2011,266.4993,267.8783,263.9281,266.7468,2203794
6/3/2011,263.6856,266.5144,263.4331,264.2312,1735762
6/6/2011,264.4636,266.1195,262.2965,263.2108,1940650
6/7/2011,264.1352,265.0142,262.1652,262.1854,1905755
6/8/2011,260.9225,263.3017,260.5436,262.2561,1652417
6/9/2011,262.6753,262.6753,260.4729,261.0235,1688159
6/10/2011,259.6849,261.0033,257.2652,257.3739,2439616
6/13/2011,257.6239,257.7249,253.6686,254.9618,2426708
6/14/2011,256.6894,259.6849,256.1034,256.8005,2336962
6/15/2011,255.1133,256.7904,252.8806,254.0626,2069218
6/16/2011,253.9919,255.8913,250.8903,252.7594,2753894
6/17/2011,255.6942,255.9519,244.8942,245.0054,5244845
6/20/2011,244.9953,245.6166,242.0806,244.7831,3027987
6/21/2011,246.1015,249.5113,244.8609,249.0364,2758241
6/22/2011,248.2535,248.7081,245.8692,246.0081,2406401
6/23/2011,243.5455,243.9143,239.3023,242.5807,4796767
6/24/2011,242.8131,242.8484,238.9436,239.8832,3803850
6/27/2011,239.4387,246.7128,239.2366,243.884,3441213
6/28/2011,244.5002,250.6567,244.5002,249.3648,2707426
6/29/2011,250.8246,252.6987,248.7232,251.3449,2341225
6/30/2011,253.5777,255.9418,253.3302,255.7953,2427330
7/1/2011,255.9771,263.2714,255.7953,263.1946,3632936
7/5/2011,265.3526,270.4546,265.3526,268.9594,3845812
7/6/2011,269.4948,272.0256,269.2624,270.4344,2694557
7/7/2011,273.2834,278.1732,270.697,276.1122,3929212
7/8/2011,269.217,271.5912,266.3478,268.732,4767244
7/11/2011,266.8074,270.7476,265.4536,266.3528,2830694
7/12/2011,266.7973,272.4853,265.7062,269.7524,2832191
7/13/2011,271.2628,274.7988,271.0022,271.8993,2787879
7/14/2011,272.3337,273.7885,266.075,267.1913,6462353
7/15/2011,301.8241,303.2132,297.1061,301.8847,13696060
7/18/2011,299.2933,304.1225,299.0458,300.5309,4465769
7/19/2011,301.1371,305.451,300.8289,304.3751,2954713
7/20/2011,304.1882,304.5165,300.738,300.738,2221605
7/21/2011,300.0712,307.1584,300.0611,306.6179,3467611
7/22/2011,305.8097,312.9373,305.2439,312.2957,3524706
7/25/2011,309.8357,315.9223,309.6538,312.6746,3128156
7/26/2011,312.2048,316.978,311.7845,314.4628,2329751
7/27/2011,311.7653,313.6697,305.4864,306.7341,3927835
7/28/2011,305.7086,311.1592,304.6024,308.6132,3096326
7/29/2011,305.2237,310.6439,304.9509,304.9509,4133695
8/1/2011,308.7547,310.9167,302.6727,306.5068,3962534
8/2/2011,306.1178,307.9717,298.8286,299.2478,3197678
8/3/2011,300.1925,304.6024,294.8157,303.678,3819589
8/4/2011,300.3086,302.506,291.706,291.7313,4906858
8/5/2011,294.2696,298.0355,283.8914,292.4991,5920728
8/8/2011,284.3865,287.4274,274.9756,275.8192,7484949
8/9/2011,283.3863,290.2613,273.2884,289.6551,6466182
8/10/2011,283.5782,284.9623,276.683,277.3296,5367143
8/11/2011,279.7593,287.1749,277.0265,283.9571,4829343
8/12/2011,287.68,288.1852,283.0832,284.7855,3153906
8/15/2011,279.5623,285.4018,275.8344,281.4819,7143985
8/16/2011,279.0572,279.0622,267.8783,272.2731,6935173
8/17/2011,272.7934,274.6422,268.1158,269.318,4052146
8/18/2011,264.4282,265.1455,252.82,255.0376,6286880
8/19/2011,252.2391,260.084,247.9554,247.9857,5407117
8/22/2011,254.593,256.1085,249.8093,251.648,4905627
8/23/2011,254.3405,263.3876,252.0966,262.0793,4344635
8/24/2011,262.3369,267.7268,261.2761,264.3373,3593750
8/25/2011,267.9188,271.3992,261.8166,262.6956,3292281
8/26/2011,262.6703,267.9561,259.2101,266.1406,3592659
8/29/2011,270.0303,272.5004,269.5261,272.3135,2335592
8/30/2011,271.8639,274.2886,268.136,273.1318,2987165
8/31/2011,275.1726,275.9607,270.7577,273.2632,2689989
9/1/2011,273.1571,274.713,268.3411,268.9897,2413331
9/2/2011,264.9333,266.6759,263.0441,265.1202,2400030
9/6/2011,258.028,264.0695,257.8765,263.7766,2715157
9/7/2011,267.9541,270.7269,266.4134,269.7625,2755762
9/8/2011,269.6463,272.3236,268.6866,270.2323,2379828
9/9/2011,268.434,270.0757,263.2765,265.1253,3266543
9/12/2011,261.6449,268.732,261.4125,267.7874,2667544
9/13/2011,268.7371,269.6868,264.3928,267.4843,2351749
9/14/2011,269.0351,271.2376,265.6153,268.7724,2688179
9/15/2011,270.5051,275.2939,270.0303,274.0714,2958373
9/16/2011,275.2029,276.2334,274.3644,276.1526,3527146
9/19/2011,272.955,277.7792,270.4445,276.1476,2466092
9/20/2011,277.5266,282.1335,274.127,276.1248,2773215
9/21/2011,276.6628,280.3554,272.2024,272.3741,2512162
9/22/2011,265.8325,267.109,259.6445,263.0087,4398155
9/23/2011,260.9376,265.9184,259.8971,265.4587,2776390
9/26/2011,266.3376,269.2069,259.2656,268.6815,2630419
9/27/2011,271.869,276.3395,270.7829,272.4449,3005644
9/28/2011,273.536,274.8089,266.565,267.1408,2261503
9/29/2011,270.7779,271.4144,262.3773,266.4639,2903388
9/30/2011,262.7814,264.6959,259.8364,260.1698,2723353
10/3/2011,257.5481,258.6342,250.0467,250.3094,4472004
10/4/2011,247.5362,254.3101,242.7706,253.5322,4158130
10/5/2011,250.7287,256.5126,242.8585,254.9466,4521065
10/6/2011,256.361,260.2658,253.8858,260.0031,3421237
10/7/2011,261.074,262.9279,257.7754,260.2102,2852232
10/10/2011,265.292,271.5002,264.2918,271.3487,2320636
10/11/2011,269.4746,276.2132,269.4746,274.3846,2851151
10/12/2011,276.8851,280.4716,275.1171,277.072,3174742
10/13/2011,277.8448,282.376,276.8295,282.3709,5570931
10/14/2011,302.8192,302.8849,296.808,298.8841,8520455
10/17/2011,294.8632,298.9599,291.9738,294.2014,4007435
10/18/2011,293.08,299.3287,291.6707,298.2931,3795645
10/19/2011,296.6918,299.0761,292.59,293.3376,2929393
10/20/2011,293.9438,297.4748,292.7365,294.8379,3377967
10/21/2011,297.788,299.4246,296.3685,298.283,3389394
10/24/2011,296.3786,303.0718,296.2675,301.2785,3424101
10/25/2011,299.6014,300.5612,294.4237,294.5803,2538887
10/26/2011,297.8082,298.1264,289.3773,296.1715,2872512
10/27/2011,302.2888,304.4508,299.7025,302.4151,3777095
10/28/2011,300.3187,304.2488,300.1824,303.1577,2506880
10/31/2011,300.6067,302.9303,298.8791,299.3691,2557538
11/1/2011,293.0346,295.7674,291.3423,292.3021,3122978
11/2/2011,295.4593,297.005,293.2265,295.4188,2120330
11/3/2011,296.5201,301.8241,294.8632,301.8241,2668251
11/4/2011,299.8035,302.9556,299.263,301.1371,2834402
11/7/2011,299.7126,307.5221,299.162,307.2948,3355600
11/8/2011,307.6332,310.3459,304.9055,309.3204,3013082
11/9/2011,305.2389,307.8303,302.41,303.5668,3708872
11/10/2011,306.085,306.0912,298.8235,300.6016,2867136
11/11/2011,303.7436,309.1941,302.3797,307.3049,3975147
11/14/2011,307.1281,312.22,307.017,309.6538,3188255
11/15/2011,309.5528,312.22,308.391,311.4521,2675138
11/16/2011,309.1891,312.3311,308.4465,308.881,2607373
11/17/2011,308.1636,309.2952,301.4604,303.5264,3491590
11/18/2011,304.0972,305.3601,299.9298,300.5006,3285209
11/21/2011,296.904,297.2778,288.9883,293.4589,2994904
11/22/2011,292.984,295.4946,290.5796,292.984,2404890
11/23/2011,290.6351,293.1103,287.9882,287.9882,2325354
11/25/2011,285.5028,290.0896,283.553,284.3966,1562341
11/28/2011,292.6658,297.4394,291.216,297.1212,2826339
11/29/2011,296.9646,298.2173,293.6559,294.4641,1831109
11/30/2011,302.0514,302.8394,299.0912,302.7788,3390173
